name,league,position,minutes_played,goals,assists,expected_goals,goals_per90,assists_per90,goals_minus_xg
Viktor Gyökeres,Premier League,F,1878,10,0,8.3548,0.4792332268370607,0.0,1.6452000000000009
Bukayo Saka,Premier League,F,1911,6,3,6.8487,0.282574568288854,0.141287284144427,-0.8487
Gabriel Jesus,Premier League,F,306,2,0,1.7605,0.5882352941176471,0.0,0.23950000000000005
Gabriel Martinelli,Premier League,F,823,1,2,3.3406,0.10935601458080194,0.21871202916160387,-2.3406
Kai Havertz,Premier League,F,203,0,1,0.3077,0.0,0.4433497536945813,-0.3077
Eberechi Eze,Premier League,F,1414,6,2,3.596,0.38189533239038187,0.1272984441301273,2.404
Leandro Trossard,Premier League,F,1685,5,5,4.8222,0.26706231454005935,0.26706231454005935,0.1778000000000004
Martin Ødegaard,Premier League,M,1078,1,5,1.0108,0.08348794063079777,0.4174397031539889,-0.01079999999999992
Declan Rice,Premier League,M,2495,4,5,2.8169,0.14428857715430862,0.18036072144288576,1.1831
Noni Madueke,Premier League,M,847,2,1,0.9573,0.21251475796930341,0.10625737898465171,1.0427
Mikel Merino,Premier League,M,1007,4,3,2.9983,0.3574975173783515,0.26812313803376364,1.0017
Martín Zubimendi,Premier League,M,2530,5,1,2.6822,0.17786561264822134,0.03557312252964427,2.3178
Max Dowman,Premier League,M,36,0,0,0.1372,0.0,0.0,-0.1372
Christian Nørgaard,Premier League,M,63,0,0,0.0511,0.0,0.0,-0.0511
Gabriel Magalhães,Premier League,D,2076,3,4,1.8538,0.13005780346820808,0.17341040462427745,1.1462
William Saliba,Premier League,D,1985,1,0,0.8575,0.04534005037783375,0.0,0.14249999999999996
Piero Hincapié,Premier League,D,1488,1,1,0.3286,0.06048387096774194,0.06048387096774194,0.6714
Riccardo Calafiori,Premier League,D,1381,1,2,2.748,0.06517016654598116,0.13034033309196233,-1.7480000000000002
Jurriën Timber,Premier League,D,2419,3,5,4.7029,0.11161637040099215,0.18602728400165355,-1.7028999999999996
Myles Lewis-Skelly,Premier League,D,336,0,0,0.0516,0.0,0.0,-0.0516
Cristhian Mosquera,Premier League,D,626,0,0,,0.0,0.0,
Ben White,Premier League,D,420,0,1,0.436,0.0,0.2142857142857143,-0.436
David Raya,Premier League,G,2700,0,0,,0.0,0.0,
Erling Haaland,Premier League,F,2328,22,7,20.7065,0.8505154639175257,0.27061855670103097,1.2935000000000016
Omar Marmoush,Premier League,F,540,1,2,2.085,0.16666666666666669,0.33333333333333337,-1.085
Phil Foden,Premier League,M,1812,7,3,5.4693,0.347682119205298,0.1490066225165563,1.5307000000000004
Antoine Semenyo,Premier League,M,2514,15,4,9.7391,0.5369928400954653,0.1431980906921241,5.2608999999999995
Rodri,Premier League,M,1155,1,0,0.7617,0.07792207792207792,0.0,0.23829999999999996
Rayan Cherki,Premier League,M,1286,3,8,2.4149,0.2099533437013997,0.5598755832037325,0.5851000000000002
Jérémy Doku,Premier League,M,1200,1,4,1.8056,0.07500000000000001,0.30000000000000004,-0.8056000000000001
Bernardo Silva,Premier League,M,2183,1,4,1.4031,0.04122766834631241,0.16491067338524965,-0.4031
Savinho,Premier League,M,582,0,1,1.5342,0.0,0.15463917525773196,-1.5342
Rayan Aït-Nouri,Premier League,M,722,0,2,0.3686,0.0,0.24930747922437674,-0.3686
Tijjani Reijnders,Premier League,M,1488,5,2,3.9591,0.3024193548387097,0.12096774193548387,1.0409000000000002
Mateo Kovačić,Premier League,M,12,0,0,,0.0,0.0,
Nico González,Premier League,M,1375,1,0,0.571,0.06545454545454545,0.0,0.42900000000000005
Abdukodir Khusanov,Premier League,D,799,0,0,0.3259,0.0,0.0,-0.3259
Joško Gvardiol,Premier League,D,1304,2,2,2.3419,0.13803680981595093,0.13803680981595093,-0.34189999999999987
Rúben Dias,Premier League,D,2059,2,0,0.5644,0.08742107819329771,0.0,1.4356
Marc Guéhi,Premier League,D,2430,2,2,3.2017,0.07407407407407407,0.07407407407407407,-1.2017000000000002
John Stones,Premier League,D,363,0,0,,0.0,0.0,
Nathan Aké,Premier League,D,503,0,0,0.2759,0.0,0.0,-0.2759
Nico O'Reilly,Premier League,D,2044,4,3,3.412,0.1761252446183953,0.13209393346379647,0.5880000000000001
Matheus Nunes,Premier League,D,2177,1,4,0.2593,0.04134129536058796,0.16536518144235185,0.7407
Rico Lewis,Premier League,D,333,0,1,0.1119,0.0,0.2702702702702703,-0.1119
Max Alleyne,Premier League,D,135,0,0,0.259,0.0,0.0,-0.259
Gianluigi Donnarumma,Premier League,G,2340,0,0,,0.0,0.0,
James Trafford,Premier League,G,270,0,0,,0.0,0.0,
Amad Diallo,Premier League,F,1740,2,2,4.2933,0.10344827586206896,0.10344827586206896,-2.2933000000000003
Benjamin Šeško,Premier League,F,1298,8,1,6.853,0.5546995377503853,0.06933744221879816,1.1470000000000002
Matheus Cunha,Premier League,F,1903,6,2,5.6343,0.2837624802942722,0.09458749343142406,0.36570000000000036
Joshua Zirkzee,Premier League,F,550,2,1,2.3854,0.32727272727272727,0.16363636363636364,-0.3854000000000002
Bruno Fernandes,Premier League,M,2257,7,14,9.1091,0.27913159060700043,0.5582631812140009,-2.1090999999999998
Bryan Mbeumo,Premier League,M,2050,9,3,8.0858,0.3951219512195122,0.13170731707317074,0.9141999999999992
Casemiro,Premier League,M,1981,6,2,4.5439,0.2725896012115093,0.09086320040383644,1.4561000000000002
Kobbie Mainoo,Premier League,M,950,0,2,0.2363,0.0,0.18947368421052632,-0.2363
Mason Mount,Premier League,M,819,3,0,1.4878,0.32967032967032966,0.0,1.5122
Patrick Dorgu,Premier League,M,1349,3,3,1.8222,0.20014825796886582,0.20014825796886582,1.1778
Diogo Dalot,Premier League,M,2056,1,3,1.4225,0.04377431906614786,0.13132295719844359,-0.4225000000000001
Manuel Ugarte,Premier League,M,794,0,0,0.4906,0.0,0.0,-0.4906
Tyler Fletcher,Premier League,M,1,0,0,,0.0,0.0,
Noussair Mazraoui,Premier League,D,653,0,0,0.1733,0.0,0.0,-0.1733
